a,m,error
2.299466173257459,2.5004351935258997,0.00026175749999270885
2.2989367541193038,2.5008663802830045,0.00025720641671248093
2.298428069089823,2.501293596351575,0.0002528167930736214
2.2979236816233586,2.501716948299426,0.00024850324293026636
2.297423557739051,2.5021364711134706,0.00024426446981586623
2.2969276636867275,2.5025521994598647,0.00024009919887394449
2.2964359659459244,2.502964167687077,0.0002360061765077408
2.2959484312249097,2.5033724098289256,0.00023198417003537613
2.295465026459699,2.5037769596075803,0.00022803196735045602
2.2949857188130673,2.504177850436535,0.00022414837658801503
2.294510475673554,2.5045751154235454,0.00022033222579572338
2.294039264654466,2.5049687873735405,0.0002165823626102726
2.2935720535928747,2.505358898791497,0.00021289765393887558
2.2931088105486106,2.505745481885288,0.0002092769856457765
2.2926495038032524,2.5061285685684984,0.00020571926224371748
2.2921941018591125,2.5065081904632147,0.00020222340659025145
2.2917425734382206,2.5068843789027806,0.00019878835958888128
2.2912948874813006,2.507257164934526,0.00019541307989489213
2.2908510131467468,2.507626579322469,0.00019209654362583692
2.2904109198095965,2.5079926525499867,0.00018883774407660103
2.2899745770604976,2.5083554148224616,0.00018563569143897077
2.2895419547046765,2.508714896069897,0.0001824894125256283
2.2891130227609007,2.5090711259495078,0.00017939795049851635
2.288687751460439,2.509424133848284,0.00017636036460151353
2.288266111246021,2.5097739488855275,0.00017337572989731823
2.2878480727707915,2.5101205999153624,0.00017044313700852667
2.2874336068972663,2.5104641155292216,0.00016756169186279505
2.2870226846962827,2.510804524058305,0.00016473051544204848
2.2866152774459496,2.5111418535760155,0.0001619487435356666
2.2862113566305955,2.5114761319003676,0.00015921552649758973
2.285810893939715,2.5118073865963737,0.00015653002900727924
2.2854138612669135,2.5121356449784056,0.00015389142983446736
2.2850202307088514,2.512460934112531,0.00015129892160766043
2.284629974564187,2.5127832808188275,0.00014875171058631315
2.284243065332515,2.5131027116736746,0.00014624901643662202
2.28385947571331,2.5134192530120187,0.00014379007201090823
2.283479178604864,2.5137329309296197,0.00014137412313048502
2.2831021471032256,2.514043771285272,0.00013900042837201483
2.2827283545011374,2.514351799703007,0.00013666825885724665
2.2823577742869747,2.5146570415742677,0.00013437689804612462
2.2819903801436814,2.5149595220600682,0.00013212564153319422
2.2816261459477083,2.5152592660931283,0.0001299137968472514
2.281265045767948,2.5155562983799857,0.00012774068325420839
2.2809070538646736,2.5158506434030916,0.00012560563156309464
2.2805521446884742,2.516142325422881,0.0001235079839351786
2.280200292879192,2.5164313684798247,0.00012144709369613145
2.2798514732648596,2.5167177963964633,0.00011942232515119797
2.2795056608606385,2.517001632779417,0.00011743305340334312
2.2791628308677567,2.5172829010213773,0.00011547866417430378
2.2788229586724467,2.5175616243030814,0.00011355855362851143
2.2784860198448866,2.5178378255952643,0.0001116721281998491
2.2781519901381393,2.518111527660593,0.00010981880442117978
2.2778208454870943,2.5183827530555827,0.00010799800875663273
2.27749256200741,2.5186515241324927,0.00010620917743656243
2.2771671159944566,2.5189178630412052,0.00010445175629518886
2.2768444839222606,2.5191817917310853,0.00010272520061083539
2.2765246424424515,2.5194433319528233,0.00010102897494874638
2.2762075683832084,2.519702505260259,9.936255300644402e-05
2.275893238748209,2.5199593330121886,9.772541746157094e-05
2.2755816307155796,2.520213836374153,9.61170598221906e-05
2.275272721636847,2.5204660363202116,9.453698027952074e-05
2.2749664890358923,2.5207159536346957,9.298468756302106e-05
2.2746629106079066,2.5209636089139473,9.145969879785337e-05
2.274361964218348,2.5212090225680415,8.996153936462397e-05
2.274063627901901,2.52145221482249,8.848974276141029e-05
2.2737678798614374,2.521693205719931,8.704385046802494e-05
2.2734746984669805,2.521932015121801,8.562341181247414e-05
2.27318406225467,2.5221686627099933,8.422798383958504e-05
2.272895949925731,2.5224031679884953,8.285713118177422e-05
2.272610340345444,2.5226355502850177,8.151042593189633e-05
2.272327212542116,2.5228658287526025,8.018744751817926e-05
2.272046545706058,2.523094022371217,7.88877825811866e-05
2.2717683191885607,2.5233201499493334,7.761102485278309e-05
2.2714925125008762,2.5235442301254953,7.635677503706412e-05
2.271219105313201,2.523766281369865,7.512464069324528e-05
2.2709480774536606,2.5239863219857592,7.391423612043425e-05
2.2706794089072986,2.5242043701111703,7.272518224430924e-05
2.270413079815069,2.5244204437202717,7.155710650563467e-05
2.270149070472828,2.5246345606249103,7.040964275059683e-05
2.269887361330335,2.5248467384760844,6.928243112293925e-05
2.2696279329902502,2.525056994765407,6.817511795786277e-05
2.269370766207138,2.5252653468265582,6.708735567765274e-05
2.269115841886475,2.525471811836719,6.601880268902911e-05
2.268863141083658,2.5256764068179973,6.496912328216996e-05
2.2686126450030195,2.5258791486388357,6.393798753139675e-05
2.2683643349968405,2.5260800540154102,6.292507119747936e-05
2.268118192564373,2.526279139513012,6.193005563156631e-05
2.267874199350862,2.5264764215474194,6.095262768066923e-05
2.267632337146571,2.526671916386255,5.999247959471828e-05
2.267392587885813,2.5268656401503327,5.9049308935137864e-05
2.267154933645984,2.527057608814988,5.812281848493433e-05
2.266919356646599,2.5272478382113994,5.721271616025979e-05
2.2666858392483333,2.5274363440278975,5.6318714923438035e-05
2.2664543639520662,2.5276231418112594,5.544053269741643e-05
2.266224913397929,2.5278082469679934,5.457789228163841e-05
2.2659974703643564,2.527991674765611,5.373052126930555e-05
2.2657720177671425,2.5281734403338865,5.2898151965999586e-05
2.265548538658499,2.5283535586661054,5.208052130965637e-05
2.2653270162261183,2.528532044620303,5.127737079186049e-05
2.2651074337922408,2.5287089129204867,5.048844638044322e-05
2.2648897748127244,2.528884178157854,4.9713498443364575e-05
2.2646740228761204,2.529057854791992,4.895228167385297e-05
2.2644601617027513,2.529229957152072,4.820455501679359e-05
2.2642481751437926,2.529400499438028,4.747008159632768e-05
2.2640380471803603,2.5295694957217276,4.674862864466446e-05
2.263829761922601,2.5297369599481314,4.603996743206866e-05
2.2636233036087856,2.529902905936441,4.5343873198015694e-05
2.263418656604409,2.5300673473812374,4.466012508348741e-05
2.2632158054012925,2.530230297853608,4.398850606440129e-05
2.2630147346166893,2.5303917708022636,4.3328802886142115e-05
2.262815428992397,2.5305517795546457,4.268080599918896e-05
2.262617873393872,2.530710337318022,4.204430949581088e-05
2.262422052809349,2.530867457180574,4.141911104782453e-05
2.262227952348963,2.5310231521124735,4.0805011845381534e-05
