b,error
2.4,8.901679885427367e-05
2.40001,8.901607290716821e-05
2.40002,8.901534827246791e-05
2.40003,8.901462495014906e-05
2.40004,8.901390294018609e-05
2.4000500000000002,8.901318224255558e-05
2.4000600000000003,8.901246285723279e-05
2.4000700000000004,8.901174478419309e-05
2.4000800000000004,8.901102802341224e-05
2.4000900000000005,8.901031257486606e-05
2.4001000000000006,8.900959843852982e-05
2.4001100000000006,8.900888561437903e-05
2.4001200000000007,8.90081741023895e-05
2.4001300000000008,8.900746390253654e-05
2.400140000000001,8.90067550147964e-05
2.400150000000001,8.90060474391437e-05
2.400160000000001,8.900534117555503e-05
2.400170000000001,8.900463622400523e-05
2.400180000000001,8.900393258447021e-05
2.400190000000001,8.900323025692547e-05
2.400200000000001,8.900252924134689e-05
2.4002100000000013,8.900182953770968e-05
2.4002200000000014,8.900113114598929e-05
2.4002300000000014,8.900043406616185e-05
2.4002400000000015,8.899973829820302e-05
2.4002500000000015,8.899904384208761e-05
2.4002600000000016,8.89983506977916e-05
2.4002700000000017,8.899765886529109e-05
2.4002800000000017,8.899696834456102e-05
2.400290000000002,8.899627913557671e-05
2.400300000000002,8.899559123831494e-05
2.400310000000002,8.899490465275032e-05
2.400320000000002,8.899421937885876e-05
2.400330000000002,8.899353541661598e-05
2.400340000000002,8.899285276599756e-05
2.400350000000002,8.89921714269785e-05
2.4003600000000023,8.899149139953532e-05
2.4003700000000023,8.89908126836429e-05
2.4003800000000024,8.899013527927738e-05
2.4003900000000025,8.898945918641377e-05
2.4004000000000025,8.898878440502806e-05
2.4004100000000026,8.898811093509597e-05
2.4004200000000027,8.898743877659295e-05
2.4004300000000027,8.89867679294942e-05
2.400440000000003,8.898609839377634e-05
2.400450000000003,8.898543016941357e-05
2.400460000000003,8.898476325638273e-05
2.400470000000003,8.898409765465892e-05
2.400480000000003,8.89834333642177e-05
2.400490000000003,8.898277038503453e-05
2.400500000000003,8.898210871708537e-05
2.4005100000000033,8.898144836034567e-05
2.4005200000000033,8.898078931479123e-05
2.4005300000000034,8.898013158039722e-05
2.4005400000000034,8.897947515713956e-05
2.4005500000000035,8.897882004499415e-05
2.4005600000000036,8.897816624393569e-05
2.4005700000000036,8.897751375394051e-05
2.4005800000000037,8.897686257498434e-05
2.4005900000000038,8.897621270704222e-05
2.400600000000004,8.897556415009014e-05
2.400610000000004,8.89749169041037e-05
2.400620000000004,8.897427096905795e-05
2.400630000000004,8.897362634492955e-05
2.400640000000004,8.897298303169327e-05
2.400650000000004,8.897234102932521e-05
2.4006600000000042,8.89717003378006e-05
2.4006700000000043,8.897106095709527e-05
2.4006800000000044,8.897042288718421e-05
2.4006900000000044,8.896978612804452e-05
2.4007000000000045,8.896915067965053e-05
2.4007100000000046,8.896851654197791e-05
2.4007200000000046,8.896788371500301e-05
2.4007300000000047,8.896725219870076e-05
2.4007400000000048,8.896662199304708e-05
2.400750000000005,8.89659930980177e-05
