b,error
6.4,7.452257298648762e-05
6.401000000000001,7.42743894733153e-05
6.402000000000001,7.402792381398423e-05
6.403000000000001,7.378317485296565e-05
6.404000000000002,7.35401414355256e-05
6.405000000000002,7.329882240772512e-05
6.406000000000002,7.305921661641876e-05
6.407000000000003,7.282132290925494e-05
6.408000000000003,7.25851401346744e-05
6.409000000000003,7.235066714190964e-05
6.410000000000004,7.21179027809853e-05
6.411000000000004,7.188684590271637e-05
6.412000000000004,7.165749535870834e-05
6.413000000000005,7.142985000135605e-05
6.414000000000005,7.120390868384359e-05
6.415000000000005,7.097967026014322e-05
6.416000000000006,7.075713358501477e-05
6.417000000000006,7.053629751400557e-05
6.418000000000006,7.031716090344959e-05
6.419000000000007,7.009972261046624e-05
6.420000000000007,6.988398149295991e-05
6.421000000000007,6.966993640962081e-05
6.422000000000008,6.945758621992207e-05
6.423000000000008,6.924692978412092e-05
6.424000000000008,6.903796596325728e-05
6.425000000000009,6.883069361915311e-05
6.426000000000009,6.862511161441209e-05
6.427000000000009,6.842121881241876e-05
6.42800000000001,6.82190140773385e-05
6.42900000000001,6.801849627411586e-05
6.43000000000001,6.7819664268475e-05
6.431000000000011,6.762251692691834e-05
6.432000000000011,6.74270531167265e-05
6.433000000000011,6.723327170595698e-05
6.434000000000012,6.704117156344493e-05
6.435000000000012,6.68507515588004e-05
6.436000000000012,6.666201056241026e-05
6.437000000000013,6.647494744543501e-05
6.438000000000013,6.628956107981079e-05
6.439000000000013,6.61058503382459e-05
6.440000000000014,6.592381409422328e-05
6.441000000000014,6.57434512219973e-05
6.442000000000014,6.556476059659471e-05
6.443000000000015,6.538774109381357e-05
6.444000000000015,6.521239159022239e-05
6.445000000000015,6.503871096315979e-05
6.446000000000016,6.486669809073433e-05
6.447000000000016,6.469635185182252e-05
6.448000000000016,6.452767112607033e-05
6.449000000000017,6.43606547938905e-05
6.450000000000017,6.419530173646339e-05
6.451000000000017,6.403161083573549e-05
6.452000000000018,6.386958097441949e-05
6.453000000000018,6.370921103599343e-05
6.454000000000018,6.355049990469967e-05
6.455000000000019,6.339344646554479e-05
6.456000000000019,6.323804960429934e-05
6.457000000000019,6.308430820749642e-05
6.45800000000002,6.293222116243098e-05
6.45900000000002,6.278178735716096e-05
6.46000000000002,6.263300568050394e-05
6.461000000000021,6.248587502203943e-05
6.462000000000021,6.234039427210585e-05
6.463000000000021,6.219656232180156e-05
6.464000000000022,6.205437806298347e-05
6.465000000000022,6.191384038826655e-05
6.466000000000022,6.177494819102419e-05
6.467000000000023,6.16377003653856e-05
6.468000000000023,6.150209580623684e-05
6.469000000000023,6.136813340922037e-05
6.470000000000024,6.123581207073313e-05
6.471000000000024,6.110513068792685e-05
6.472000000000024,6.0976088158707894e-05
6.473000000000025,6.084868338173551e-05
6.474000000000025,6.072291525642189e-05
6.475000000000025,6.059878268293182e-05
6.476000000000026,6.047628456218154e-05
6.477000000000026,6.035541979583856e-05
6.478000000000026,6.023618728632106e-05
6.479000000000027,6.011858593679725e-05
6.480000000000027,6.0002614651184095e-05
6.481000000000027,5.988827233414803e-05
6.482000000000028,5.977555789110339e-05
6.483000000000028,5.9664470228212606e-05
6.484000000000028,5.955500825238469e-05
6.485000000000029,5.9447170871275234e-05
6.486000000000029,5.934095699328566e-05
6.487000000000029,5.9236365527563465e-05
6.48800000000003,5.913339538399961e-05
6.48900000000003,5.903204547323023e-05
6.49000000000003,5.8932314706634875e-05
6.491000000000031,5.8834201996335646e-05
6.492000000000031,5.873770625519788e-05
6.493000000000031,5.864282639682777e-05
