b,error
11.9,4.1142801222843375e-05
11.901,4.111839600268726e-05
11.902,4.1094259083791696e-05
11.902999999999999,4.107039036651922e-05
11.903999999999998,4.104678975126989e-05
11.904999999999998,4.102345713848177e-05
11.905999999999997,4.1000392428630045e-05
11.906999999999996,4.097759552222791e-05
11.907999999999996,4.09550663198259e-05
11.908999999999995,4.0932804722012354e-05
11.909999999999995,4.0910810629412465e-05
11.910999999999994,4.088908394269008e-05
11.911999999999994,4.0867624562545535e-05
11.912999999999993,4.084643238971724e-05
11.913999999999993,4.082550732498079e-05
11.914999999999992,4.080484926914943e-05
11.915999999999991,4.078445812307384e-05
11.916999999999991,4.07643337876419e-05
11.91799999999999,4.074447616377924e-05
11.91899999999999,4.0724885152448684e-05
11.91999999999999,4.070556065465057e-05
11.920999999999989,4.0686502571422293e-05
11.921999999999988,4.0667710803838927e-05
11.922999999999988,4.0649185253012925e-05
11.923999999999987,4.0630925820093673e-05
11.924999999999986,4.061293240626805e-05
11.925999999999986,4.0595204912760425e-05
11.926999999999985,4.057774324083235e-05
11.927999999999985,4.056054729178252e-05
11.928999999999984,4.0543616966946744e-05
11.929999999999984,4.052695216769831e-05
11.930999999999983,4.05105527954477e-05
11.931999999999983,4.049441875164219e-05
11.932999999999982,4.047854993776702e-05
11.933999999999982,4.046294625534362e-05
11.934999999999981,4.044760760593157e-05
11.93599999999998,4.0432533891126596e-05
11.93699999999998,4.041772501256217e-05
11.93799999999998,4.040318087190869e-05
11.938999999999979,4.0388901370873625e-05
11.939999999999978,4.0374886411201476e-05
11.940999999999978,4.0361135894673954e-05
11.941999999999977,4.034764972310961e-05
11.942999999999977,4.03344277983638e-05
11.943999999999976,4.03214700223296e-05
11.944999999999975,4.030877629693622e-05
11.945999999999975,4.0296346524150684e-05
11.946999999999974,4.0284180605976086e-05
11.947999999999974,4.027227844445302e-05
11.948999999999973,4.026063994165899e-05
11.949999999999973,4.0249264999707976e-05
11.950999999999972,4.023815352075158e-05
11.951999999999972,4.022730540697753e-05
11.952999999999971,4.0216720560610774e-05
11.95399999999997,4.0206398883913205e-05
11.95499999999997,4.019634027918331e-05
11.95599999999997,4.0186544648756364e-05
11.956999999999969,4.0177011895004586e-05
11.957999999999968,4.0167741920337e-05
11.958999999999968,4.0158734627199246e-05
11.959999999999967,4.014998991807383e-05
11.960999999999967,4.014150769547998e-05
11.961999999999966,4.0133287861973316e-05
11.962999999999965,4.012533032014659e-05
11.963999999999965,4.011763497262921e-05
11.964999999999964,4.011020172208702e-05
11.965999999999964,4.0103030471222685e-05
11.966999999999963,4.009612112277526e-05
11.967999999999963,4.008947357952081e-05
11.968999999999962,4.0083087744271595e-05
11.969999999999962,4.007696351987671e-05
11.970999999999961,4.0071100809221935e-05
11.97199999999996,4.006549951522927e-05
11.97299999999996,4.0060159540857473e-05
11.97399999999996,4.005508078910176e-05
11.974999999999959,4.005026316299392e-05
11.975999999999958,4.004570656560221e-05
11.976999999999958,4.0041410900031304e-05
11.977999999999957,4.003737606942248e-05
11.978999999999957,4.003360197695327e-05
11.979999999999956,4.003008852583778e-05
11.980999999999955,4.0026835619326486e-05
11.981999999999955,4.002384316070636e-05
11.982999999999954,4.0021111053300496e-05
11.983999999999954,4.001863920046869e-05
11.984999999999953,4.001642750560701e-05
11.985999999999953,4.0014475872147514e-05
11.986999999999952,4.001278420355902e-05
11.987999999999952,4.001135240334657e-05
11.988999999999951,4.0010180375051224e-05
11.98999999999995,4.00092680222506e-05
11.99099999999995,4.0008615248558406e-05
11.99199999999995,4.000822195762497e-05
11.992999999999949,4.0008088053136363e-05
11.993999999999948,4.0008213438814976e-05
11.994999999999948,4.000859801841964e-05
11.995999999999947,4.000924169574503e-05
11.996999999999947,4.001014437462245e-05
11.997999999999946,4.001130595891886e-05
11.998999999999945,4.0012726352537717e-05
11.999999999999945,4.0014405459418414e-05
12.000999999999944,4.001634318353641e-05
12.001999999999944,4.001853942890359e-05
