b,error
1.2,8.901679885427341e-05
1.2001,8.900252924134702e-05
1.2002,8.898878440502842e-05
1.2003,8.897556415009052e-05
1.2004,8.896286828137937e-05
1.2005,8.89506966038152e-05
1.2006,8.893904892239195e-05
1.2006999999999999,8.8927925042177e-05
1.2007999999999999,8.891732476831099e-05
1.2008999999999999,8.8907247906009e-05
1.2009999999999998,8.889769426055901e-05
1.2010999999999998,8.88886636373223e-05
1.2011999999999998,8.888015584173477e-05
1.2012999999999998,8.887217067930455e-05
1.2013999999999998,8.886470795561367e-05
1.2014999999999998,8.885776747631777e-05
1.2015999999999998,8.885134904714563e-05
1.2016999999999998,8.88454524738994e-05
1.2017999999999998,8.884007756245429e-05
1.2018999999999997,8.883522411875936e-05
1.2019999999999997,8.883089194883622e-05
1.2020999999999997,8.882708085878029e-05
1.2021999999999997,8.882379065475959e-05
1.2022999999999997,8.882102114301579e-05
1.2023999999999997,8.881877212986345e-05
1.2024999999999997,8.881704342169025e-05
1.2025999999999997,8.881583482495656e-05
1.2026999999999997,8.881514614619665e-05
1.2027999999999996,8.881497719201662e-05
1.2028999999999996,8.881532776909651e-05
1.2029999999999996,8.881619768418873e-05
1.2030999999999996,8.881758674411904e-05
1.2031999999999996,8.881949475578539e-05
1.2032999999999996,8.882192152615905e-05
1.2033999999999996,8.882486686228402e-05
1.2034999999999996,8.882833057127705e-05
1.2035999999999996,8.883231246032734e-05
1.2036999999999995,8.883681233669707e-05
1.2037999999999995,8.884183000772165e-05
1.2038999999999995,8.884736528080774e-05
1.2039999999999995,8.885341796343572e-05
1.2040999999999995,8.885998786315869e-05
1.2041999999999995,8.886707478760112e-05
1.2042999999999995,8.887467854446116e-05
1.2043999999999995,8.888279894150881e-05
1.2044999999999995,8.889143578658668e-05
1.2045999999999994,8.890058888760988e-05
1.2046999999999994,8.891025805256636e-05
1.2047999999999994,8.892044308951522e-05
1.2048999999999994,8.893114380658916e-05
1.2049999999999994,8.894236001199224e-05
1.2050999999999994,8.89540915140013e-05
1.2051999999999994,8.896633812096538e-05
1.2052999999999994,8.897909964130571e-05
1.2053999999999994,8.899237588351524e-05
1.2054999999999993,8.900616665615965e-05
1.2055999999999993,8.902047176787677e-05
1.2056999999999993,8.9035291027376e-05
1.2057999999999993,8.905062424343919e-05
1.2058999999999993,8.906647122492023e-05
1.2059999999999993,8.908283178074427e-05
1.2060999999999993,8.909970571990959e-05
1.2061999999999993,8.911709285148539e-05
1.2062999999999993,8.913499298461367e-05
1.2063999999999993,8.91534059285072e-05
1.2064999999999992,8.917233149245175e-05
1.2065999999999992,8.919176948580401e-05
1.2066999999999992,8.921171971799261e-05
1.2067999999999992,8.923218199851839e-05
1.2068999999999992,8.925315613695353e-05
1.2069999999999992,8.927464194294165e-05
1.2070999999999992,8.929663922619907e-05
1.2071999999999992,8.931914779651189e-05
1.2072999999999992,8.934216746373976e-05
1.2073999999999991,8.936569803781286e-05
1.2074999999999991,8.938973932873249e-05
1.2075999999999991,8.941429114657268e-05
1.207699999999999,8.943935330147786e-05
1.207799999999999,8.946492560366436e-05
1.207899999999999,8.949100786341985e-05
1.207999999999999,8.951759989110359e-05
1.208099999999999,8.954470149714573e-05
1.208199999999999,8.957231249204789e-05
1.208299999999999,8.960043268638315e-05
1.208399999999999,8.962906189079551e-05
1.208499999999999,8.965819991600088e-05
1.208599999999999,8.968784657278561e-05
1.208699999999999,8.971800167200774e-05
1.208799999999999,8.974866502459545e-05
1.208899999999999,8.977983644154959e-05
1.208999999999999,8.981151573394078e-05
1.209099999999999,8.984370271291142e-05
1.209199999999999,8.987639718967447e-05
1.209299999999999,8.990959897551431e-05
1.209399999999999,8.99433078817855e-05
1.209499999999999,8.997752371991446e-05
1.209599999999999,9.001224630139804e-05
1.2096999999999989,9.004747543780343e-05
1.2097999999999989,9.008321094077011e-05
1.2098999999999989,9.011945262200641e-05
1.2099999999999989,9.015620029329314e-05
